# Altitude (km), Pressure(atm), Temperature(K), [VMRs:] H2O, CO, SO2, HF, HCL, OCS, H2S, He
5.80000e+01 3.05200e-01 2.82015e+02 1.41000e-05 9.65000e-01 4.46000e-05 1.67000e-06 5.00000e-09 5.00000e-07 1.00000e-08 3.50000e-02 2.00000e-06 4.50000e-05
5.70000e+01 3.59520e-01 2.84341e+02 1.57000e-05 9.65000e-01 4.38000e-05 2.34000e-06 5.00000e-09 5.00000e-07 1.00000e-08 3.50000e-02 2.00000e-06 4.50000e-05
5.60000e+01 4.22230e-01 2.93471e+02 1.73000e-05 9.65000e-01 4.31000e-05 3.27000e-06 5.00000e-09 5.00000e-07 1.00000e-08 3.50000e-02 2.00000e-06 4.50000e-05
5.50000e+01 4.93120e-01 3.03655e+02 1.89000e-05 9.65000e-01 4.23000e-05 4.56000e-06 5.00000e-09 5.00000e-07 1.00000e-08 3.50000e-02 2.00000e-06 4.50000e-05
5.40000e+01 5.73050e-01 3.13920e+02 2.05000e-05 9.65000e-01 4.15000e-05 6.38000e-06 5.00000e-09 5.00000e-07 1.00000e-08 3.50000e-02 2.00000e-06 4.50000e-05
5.30000e+01 6.62740e-01 3.24104e+02 2.21000e-05 9.65000e-01 4.08000e-05 8.92000e-06 5.00000e-09 5.00000e-07 1.00000e-08 3.50000e-02 2.00000e-06 4.50000e-05
5.20000e+01 7.63170e-01 3.32628e+02 2.36000e-05 9.65000e-01 4.00000e-05 1.25000e-05 5.00000e-09 5.00000e-07 1.00000e-08 3.50000e-02 2.00000e-06 4.50000e-05
5.10000e+01 8.75830e-01 3.41891e+02 2.52000e-05 9.65000e-01 3.92000e-05 1.74000e-05 5.00000e-09 5.00000e-07 1.00000e-08 3.50000e-02 2.00000e-06 4.50000e-05
5.00000e+01 1.00140e+00 3.50290e+02 2.68000e-05 9.65000e-01 3.85000e-05 2.44000e-05 5.00000e-09 5.00000e-07 1.00000e-08 3.50000e-02 2.00000e-06 4.50000e-05
4.90000e+01 1.10470e+00 3.60586e+02 2.84000e-05 9.65000e-01 3.77000e-05 3.41000e-05 5.00000e-09 5.00000e-07 1.00000e-08 3.50000e-02 2.00000e-06 4.50000e-05
4.80000e+01 1.35740e+00 3.66400e+02 3.00000e-05 9.65000e-01 3.69000e-05 4.76000e-05 5.00000e-09 5.00000e-07 1.00000e-08 3.50000e-02 2.00000e-06 4.50000e-05
4.70000e+01 1.53600e+00 3.73100e+02 3.00000e-05 9.65000e-01 3.62000e-05 6.65000e-05 5.00000e-09 5.00000e-07 1.00000e-08 3.50000e-02 2.00000e-06 4.50000e-05
4.60000e+01 1.73350e+00 3.79700e+02 3.00000e-05 9.65000e-01 3.54000e-05 9.30000e-05 5.00000e-09 5.00000e-07 1.00000e-08 3.50000e-02 2.00000e-06 4.50000e-05
4.50000e+01 1.95360e+00 3.85400e+02 3.00000e-05 9.65000e-01 3.46000e-05 1.30000e-04 5.00000e-09 5.00000e-07 1.00000e-08 3.50000e-02 2.00000e-06 4.50000e-05
4.40000e+01 2.19740e+00 3.91200e+02 3.00000e-05 9.65000e-01 3.38000e-05 1.30000e-04 5.00000e-09 5.00000e-07 1.62000e-08 3.50000e-02 2.00000e-06 4.50000e-05
4.30000e+01 2.46690e+00 3.97100e+02 3.00000e-05 9.65000e-01 3.31000e-05 1.30000e-04 5.00000e-09 5.00000e-07 2.63000e-08 3.50000e-02 2.00000e-06 4.50000e-05
